pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,a,b,c,d,e,sigma,sigma_r,N,type,mean_T,std_T,mean_FeH,std_FeH
G1,57,9832.1397,22,1.8871,9868.1857,26,5.0856,0.3378,0.4341,-0.1061,,,0.054016699141745,0.009836353200556,19,B,4.32534221578947,0.447457396589574,,
G2,57,9879.583,22,1.8732,9889.0351,26,5.0331,3.352,-0.9106,,0.1466,,0.042285444534611,0,11,G,4.01114544545454,0.244792851994001,-0.139045455272727,0.303936162317048
G3,56,9927.3506,22,1.8792,9944.2065,26,5.0117,-1.8717,1.432,-0.2157,,,0.077325599188881,0.046977025881164,15,B,4.3080439,0.420607391316791,,
G4,56,9997.9591,22,1.8732,9980.4629,26,5.0331,8.2726,-3.0844,0.2852,-3.1456,0.7318,0.055442336878893,0,13,F,4.27259873846154,0.386619626272967,-0.150414777846154,0.248608783390045
G5,56,10005.664,22,1.0666,10003.088,22,2.1603,2.5682,-0.7248,,,,0.038330841199559,0,10,A,3.93285464,0.179795349898368,,
G6,56,10059.904,22,1.4298,10046.414,27,2.7177,2.0734,-0.4187,,-0.0956,,0.044315837615205,0,15,G,4.16015414,0.398462980941564,-0.264740411866667,0.240462292906518
G7,56,10066.512,22,2.1603,10065.045,26,4.8349,10.4214,-4.4606,0.4527,,0.0709,0.082096219555188,0.043887655882728,16,E,4.1599422875,0.368063470447029,-0.231740483625,0.263936146045655
G8,55,10155.162,26,2.1759,10193.224,28,4.0893,0.8856,-0.1897,,-0.9207,0.1967,0.037571238982363,0.012234684589089,20,C,4.30761219,0.442922045229176,-0.1785380469,0.263729359050059
G9,55,10167.468,26,2.1979,10145.561,26,4.7955,2.9902,-1.2034,0.1105,-0.7454,0.1878,0.022712806626331,0,20,F,4.30761219,0.442922045229176,-0.1785380469,0.263729359050059
G10,55,10170.488,22,1.4432,10195.105,26,2.7275,2.9546,-0.808,,,0.0305,0.044556315600707,0,13,D,4.02589543076923,0.234004992209665,-0.168792546769231,0.291199048267941
G11,55,10189.146,22,1.4601,10218.408,26,3.0713,3.2571,-0.9003,,0.1569,,0.044489937511658,0.004086295590212,13,G,4.04649364615385,0.280301605731334,-0.178861855230769,0.279933016578114
G12,55,10265.217,26,2.2227,10216.313,26,4.7331,-1.2059,0.7831,-0.1296,,0.0248,0.053525715319454,0.016612648794203,20,E,4.30761219,0.442922045229176,-0.1785380469,0.263729359050059
G13,54,10332.327,26,3.6352,10353.804,26,5.3933,1.5264,-0.3303,,,-0.014,0.052172697481521,0,15,D,4.39695976666667,0.38204416538936,-0.078144880533333,0.208629236510249
G14,54,10340.885,26,2.1979,10288.944,14,4.9201,3.7976,-1.3668,0.1211,-0.8435,0.1723,0.021917250455299,0,21,F,4.29227569047619,0.437655344633429,-0.191908213238095,0.264227829418243
G15,54,10395.794,26,2.1759,10371.263,14,4.9296,1.053,-0.2454,,-0.6446,0.1472,0.023574634330718,0.004026208454748,19,C,4.34914969473684,0.421347729183498,-0.169234178315789,0.258280053451088
G16,54,10396.802,22,0.8484,10347.965,26,5.3933,5.1879,-1.684,0.1428,,-0.0405,0.037364282868328,0,21,E,4.29227569047619,0.437655344633429,-0.191908213238095,0.264227829418243
G17,54,10423.743,26,3.0713,10459.46,16,6.8601,-5.4754,3.1488,-0.4124,,0.0421,0.043500279588833,0,10,E,4.65463377,0.314344901695249,-0.2097009476,0.190397882068955
G18,54,10460.049,22,2.2556,10469.652,26,3.8835,1.8697,-0.5208,,,0.049,0.062107966460098,0.038827633805313,13,D,4.09873503846154,0.229314447032701,-0.151364854461539,0.273793609197941
G19,53,10486.25,24,3.0106,10530.514,28,4.1054,1.5387,-0.2926,,,,0.058562912922072,0.038395313009772,20,A,4.255591275,0.41576271791142,,
